bct2010,total_workers,total_workers_error,workers_drive_alone,workers_drive_alone_error
2000100,4650,428,3665,407
2000200,455,176,175,113
2000400,490,145,160,82
2001600,1830,333,850,202
2001900,6515,583,2635,387
2002000,1045,249,310,141
2002300,440,151,120,85
2002400,300,125,145,99
2002500,610,197,150,83
2002701,370,112,140,84
2002702,860,201,295,134
2002800,1225,301,780,252
2003100,1115,265,250,105
2003300,990,244,325,117
2003500,770,239,145,107
2003700,175,96,20,24
2003800,100,70,25,44
2003900,1660,314,475,148
2004001,555,201,250,147
2004100,1085,258,375,171
2004200,2330,432,605,195
2004300,2420,410,720,223
2004400,1370,294,285,117
2004600,350,145,145,83
2004800,525,166,255,99
2005001,200,125,70,76
2005002,295,126,20,31
2005100,4930,531,1560,261
2005200,890,193,295,110
2005300,210,89,65,60
2005400,1445,330,515,150
2005600,640,165,290,117
2005902,1610,321,600,179
2006000,890,209,480,151
2006100,2595,393,1020,266
2006200,380,152,65,57
2006300,7390,729,2465,346
2006400,180,100,15,22
2006500,10070,709,2970,432
2006700,1960,352,450,153
2006800,575,190,285,145
2006900,1325,264,445,136
2007000,540,208,205,123
2007100,2275,389,740,231
2007200,560,193,230,122
2007300,665,192,140,90
2007400,305,124,205,116
2007500,495,169,175,92
2007600,725,205,170,96
2007700,1165,283,315,130
2007800,580,206,250,155
2007900,1000,266,440,183
2008300,1380,323,470,151
2008400,110,71,55,45
2008500,1010,244,340,146
2008600,395,179,65,59
2008700,1180,330,445,185
2008900,1020,249,345,136
2009000,4890,477,2585,360
2009200,1140,293,290,128
2009300,8875,701,4385,496
2009600,5070,598,2375,337
2009800,780,262,280,145
2011000,205,92,145,84
2011502,1415,279,650,197
2011700,4875,611,2320,397
2011800,1360,333,775,253
2011900,1035,242,250,128
2012101,760,221,340,151
2012102,325,159,75,62
2012300,875,283,280,117
2012500,475,159,245,131
2012701,1000,248,305,119
2012901,930,221,220,98
2013000,125,70,80,61
2013100,900,212,190,91
2013200,775,261,320,147
2013300,755,208,185,88
2013500,780,228,150,83
2013800,625,213,105,59
2014100,710,176,160,83
2014300,235,116,85,69
2014400,705,211,365,149
2014500,1140,289,230,116
2014701,1025,244,405,143
2014702,315,124,165,83
2014900,1980,361,870,240
2015100,585,213,160,76
2015200,875,211,470,151
2015300,615,185,310,131
2015500,1285,246,365,136
2015700,730,224,300,136
2015800,530,172,290,105
2015900,1300,266,285,125
2016000,315,138,115,79
2016100,1260,309,435,162
2016200,640,194,250,134
2016300,25,32,0,119
2016400,210,109,80,73
2016500,1660,364,815,262
2016600,1080,254,575,207
2016700,1365,302,735,213
2016900,440,157,140,88
2017100,25,29,0,119
2017300,1105,297,380,173
2017500,600,181,240,113
2017701,685,207,275,136
2017702,310,135,25,26
2017901,450,180,85,65
2017902,505,202,100,65
2018101,320,128,60,54
2018102,1320,247,490,171
2018301,995,215,405,139
2018302,2480,353,985,254
2018400,575,155,315,105
2018500,1850,328,610,177
2018900,1305,314,395,186
2019300,745,196,150,89
2019400,985,244,530,138
2019500,1940,342,455,132
2019700,1515,326,350,128
2019900,825,262,160,94
2020000,4100,407,1885,298
2020100,780,196,235,139
2020200,265,137,175,102
2020400,695,169,285,118
2020501,365,155,20,30
2020502,25,30,0,119
2020601,385,197,185,104
2020900,435,177,85,61
2021001,1055,259,410,172
2021002,515,158,195,98
2021100,735,182,195,96
2021200,1090,307,200,112
2021301,135,80,60,58
2021302,1010,291,215,122
2021501,530,172,125,71
2021502,1630,374,515,179
2021601,580,175,195,95
2021602,795,218,130,84
2021700,895,247,275,135
2021800,485,180,150,98
2021900,940,232,315,124
2022000,985,221,370,136
2022101,765,240,225,121
2022102,450,162,130,84
2022200,1550,340,515,184
2022300,1100,240,305,143
2022401,375,145,85,58
2022403,400,166,85,65
2022404,650,234,145,77
2022500,975,265,240,136
2022701,655,234,225,138
2022702,330,159,105,75
2022703,1065,322,310,130
2022800,375,155,185,99
2022901,2850,444,1050,237
2022902,430,149,175,86
2023000,430,138,130,83
2023100,860,246,215,96
2023200,740,208,135,88
2023301,1020,220,370,179
2023302,630,187,180,109
2023501,1000,236,165,78
2023502,880,219,175,111
2023600,460,154,235,140
2023702,1730,297,270,118
2023703,880,267,230,115
2023704,675,194,155,105
2023800,1775,346,980,242
2023900,1360,258,460,160
2024000,455,148,295,109
2024100,955,194,105,60
2024300,815,238,280,128
2024400,580,223,240,105
2024501,365,133,105,58
2024502,490,171,95,96
2024600,360,155,90,51
2024700,255,119,150,79
2024800,800,189,340,115
2024900,1305,283,630,186
2025000,175,82,40,31
2025100,890,243,215,116
2025200,555,178,155,102
2025300,975,237,290,123
2025400,655,187,230,101
2025500,1090,279,180,99
2025600,405,144,190,92
2025700,220,122,80,87
2026100,2095,423,950,243
2026300,1360,285,410,145
2026400,540,220,215,145
2026500,1795,351,505,187
2026601,490,177,90,70
2026602,1010,247,315,105
2026701,440,238,175,191
2026702,395,153,75,54
2026900,1110,254,130,85
2027300,405,155,75,64
2027401,405,129,275,113
2027402,185,89,70,70
2027600,40,54,0,119
2027700,875,260,200,106
2027900,830,250,125,102
2028100,565,159,280,119
2028300,1635,308,640,208
2028400,5270,541,2775,389
2028500,850,212,205,119
2028600,2215,297,1185,227
2028700,905,240,485,204
2028800,975,293,420,135
2028900,1930,431,540,174
2029301,230,109,85,68
2029302,1310,266,385,161
2029500,1090,277,435,171
2029600,8155,608,4055,421
2029700,1140,249,440,151
2030000,1540,331,740,223
2030100,455,156,230,122
2030200,225,104,100,72
2030701,770,202,180,84
2030900,1905,346,695,160
2031000,1465,242,775,198
2031200,480,181,265,123
2031400,325,145,195,104
2031600,225,147,95,85
2031800,185,116,70,64
2031900,765,517,345,131
2032300,1030,224,385,123
2032400,1385,271,705,194
2032600,605,189,230,120
2032800,665,185,200,113
2033000,665,193,80,57
2033201,625,193,155,83
2033202,1195,260,450,155
2033400,2000,379,680,186
2033500,750,189,215,94
2033600,380,156,160,104
2033700,865,204,465,146
2033800,550,188,120,77
2034000,645,205,85,62
2034200,435,197,270,124
2034300,405,152,105,55
2034400,305,180,145,114
2034500,390,160,165,97
2034800,510,148,285,123
2035000,60,52,30,38
2035100,1500,232,735,178
2035600,665,187,445,150
2035800,650,216,360,156
2035900,335,130,115,83
2036000,345,111,210,83
2036100,770,219,175,92
2036300,750,234,215,108
2036400,355,129,115,70
2036501,480,158,135,84
2036502,245,136,20,30
2036700,365,149,145,99
2036800,455,168,120,74
2036901,800,207,255,114
2036902,200,113,60,56
2037000,40,32,15,23
2037100,925,224,255,111
2037200,775,192,280,105
2037300,455,142,145,88
2037400,435,150,225,110
2037504,2570,373,1265,265
2037600,70,49,10,16
2037800,225,129,50,59
2037900,800,249,260,112
2038000,620,216,315,119
2038100,695,181,265,118
2038200,80,63,35,39
2038301,1165,274,290,120
2038302,1390,282,460,145
2038500,975,271,395,186
2038600,900,308,385,192
2038700,1815,339,840,249
2038800,50,40,20,23
2038900,730,199,300,131
2039000,465,151,145,72
2039100,1700,332,490,147
2039200,100,71,10,15
2039300,1035,249,300,128
2039400,215,98,40,37
2039500,1205,250,240,105
2039600,235,117,45,41
2039700,3790,414,1590,272
2039800,380,149,190,127
2039901,1750,334,395,157
2039902,805,210,205,115
2040100,1590,303,515,161
2040302,110,65,0,119
2040303,205,110,40,35
2040304,495,187,15,21
2040400,140,74,70,52
2040501,240,102,95,76
2040502,355,135,95,69
2040600,450,145,160,82
2040701,270,128,40,43
2040702,830,221,320,108
2040800,195,94,60,51
2040900,2960,367,1205,183
2041100,495,140,220,101
2041300,1270,297,250,142
2041400,690,185,345,126
2041500,640,263,80,53
2041800,885,249,490,181
2041900,1210,273,415,129
2042000,2410,370,1245,254
2042100,10650,823,4830,488
2042200,360,132,195,105
2042300,505,167,130,82
2042400,425,145,270,124
2042500,1215,311,450,169
2042600,465,184,140,78
2042800,145,93,55,52
2042901,80,57,20,25
2042902,390,182,275,135
2043000,45,47,25,30
2043100,2495,406,1055,237
2043400,970,239,390,132
2043500,365,127,135,74
2043600,70,61,60,59
2044200,365,156,165,119
2044400,165,103,50,48
2044800,70,59,0,119
2044901,170,94,135,90
2044902,380,235,105,71
2045101,110,66,40,32
2045102,385,138,165,69
2045600,660,180,275,121
2045800,185,89,115,81
2046000,180,84,95,67
2046201,7100,585,2990,412
2046202,2625,391,1545,276
2048400,1530,360,715,204
2050400,195,109,35,38
2051600,6215,795,2865,430
3000100,1940,333,515,164
3000200,3980,447,1230,216
3000301,2065,315,705,175
3000501,1500,293,365,142
3000502,3600,497,840,207
3000700,3790,429,1050,210
3000900,22010,1073,5320,576
3001100,30545,1341,8955,756
3001300,7435,570,2020,299
3001500,3800,442,1325,283
3001800,13185,863,4855,531
3002000,1265,244,355,159
3002100,9735,747,2520,302
3002200,4930,571,1970,335
3002300,275,116,55,58
3002901,830,193,355,123
3003000,320,134,75,74
3003100,2375,325,760,224
3003300,7955,704,2435,370
3003400,1475,292,560,148
3003500,5695,526,1140,259
3003600,245,111,95,69
3003700,19445,1130,4625,492
3003800,200,94,60,62
3003900,3630,509,945,255
3004100,2465,372,640,183
3004300,3410,466,965,253
3004400,270,124,60,51
3004500,2200,348,715,237
3004600,870,211,295,139
3004700,985,230,275,112
3004900,2080,351,820,219
3005000,425,137,110,72
3005100,1340,218,475,148
3005201,410,172,90,75
3005202,135,84,35,54
3005300,6010,638,2115,339
3005400,995,207,135,76
3005601,635,159,320,120
3005602,280,105,130,72
3005800,2825,382,780,181
3005900,2530,418,1025,222
3006000,1310,289,470,135
3006200,1090,271,295,155
3006300,710,190,320,134
3006400,1085,257,340,123
3006500,1065,252,235,118
3006600,960,227,335,122
3006700,1180,229,280,118
3006800,2415,339,630,184
3006900,2605,417,800,267
3007000,1125,241,515,171
3007100,380,148,135,81
3007200,90,65,45,49
3007400,825,219,350,132
3007500,1700,360,560,209
3007600,915,232,220,116
3007700,3050,444,1115,281
3007800,1040,247,315,132
3008000,1355,328,330,142
3008200,1445,282,460,165
3008400,2950,393,960,245
3008500,455,152,140,77
3008600,65,47,10,14
3008800,820,203,320,139
3009000,875,195,440,149
3009200,730,186,105,59
3009400,885,218,345,122
3009600,1100,268,390,182
3009800,1055,286,320,147
3010000,1320,255,365,135
3010100,2385,334,535,161
3010200,1060,269,250,101
3010400,1690,322,345,145
3010600,1630,263,270,111
3010800,1140,233,335,126
3011000,1370,321,380,153
3011200,1330,310,400,157
3011400,7680,655,3105,359
3011600,565,193,150,86
3011700,1190,255,455,186
3011800,2705,356,1010,230
3011900,4225,506,1745,281
3012000,2190,339,695,197
3012100,895,218,275,104
3012200,1185,235,300,119
3012600,540,195,185,85
3012700,1070,253,275,129
3012801,385,142,75,53
3012901,805,203,300,139
3012902,1675,246,450,184
3013000,1710,353,545,190
3013100,1440,329,315,150
3013200,355,158,175,104
3013300,1150,274,280,132
3013400,2120,290,920,218
3013500,845,229,220,113
3013600,1455,311,390,137
3013700,1630,311,400,124
3013800,1475,270,625,189
3013900,1445,293,415,159
3014000,375,139,135,92
3014100,1895,312,485,173
3014200,865,230,175,76
3014300,1680,321,500,181
3014500,1330,255,375,146
3014700,1105,225,310,143
3014800,460,208,175,102
3014900,1260,265,230,106
3015000,660,213,305,135
3015100,1320,221,250,104
3015200,3245,410,1515,277
3015300,4010,421,1305,242
3015400,155,95,60,63
3015500,1600,299,290,115
3015700,1540,265,260,118
3015900,3010,378,590,153
3016000,2290,330,825,185
3016100,1605,355,330,124
3016200,905,217,325,124
3016300,895,169,300,120
3016400,865,189,470,123
3016500,2180,329,575,178
3016600,180,68,60,38
3016700,1245,243,145,85
3016800,175,139,15,22
3016900,1735,265,480,146
3017000,420,147,130,56
3017100,330,124,95,55
3017200,515,162,150,103
3017400,220,133,45,53
3017500,90,65,0,119
3017600,390,165,150,85
3017700,595,160,135,70
3017800,1335,255,595,148
3017900,1120,276,285,128
3018000,280,138,150,91
3018100,890,223,345,169
3018200,805,156,255,111
3018300,640,219,150,60
3018400,260,123,170,110
3018501,150,82,4,13
3018600,100,97,0,119
3018700,275,128,40,48
3018800,400,144,170,100
3019000,1120,258,410,150
3019100,1415,321,440,202
3019200,1220,279,535,187
3019300,2925,421,470,152
3019400,980,220,310,119
3019500,995,202,325,93
3019600,1080,251,360,119
3019700,795,232,220,112
3019800,665,294,120,85
3019900,1340,303,380,170
3020000,505,151,150,74
3020100,665,187,80,57
3020200,140,78,105,74
3020300,660,175,235,95
3020400,35,41,30,41
3020500,1195,274,420,163
3020600,315,103,170,71
3020700,550,197,75,55
3020800,250,89,65,48
3021000,400,151,135,118
3021100,1560,295,550,178
3021200,490,142,250,111
3021300,1795,289,605,175
3021400,495,171,215,116
3021500,695,181,140,76
3021600,550,214,95,61
3021700,330,140,55,59
3021800,1080,253,270,106
3021900,450,167,130,73
3022000,2630,372,735,172
3022100,625,205,155,91
3022200,1345,264,400,159
3022400,1000,226,380,136
3022600,1605,273,580,151
3022700,1075,259,180,93
3022800,2635,386,1065,232
3022900,260,99,30,30
3023000,1310,302,400,164
3023100,1030,218,265,111
3023200,2650,355,605,163
3023300,910,236,300,133
3023400,1210,270,350,135
3023500,955,239,410,183
3023600,1560,372,455,148
3023800,1085,244,255,134
3024000,1020,225,185,106
3024100,1600,317,395,175
3024200,1085,251,345,133
3024300,520,159,165,89
3024400,1170,252,255,101
3024500,425,140,160,80
3024600,710,170,200,103
3024700,2095,368,820,209
3024800,1160,277,450,162
3024900,940,249,270,106
3025000,1475,283,585,157
3025100,310,125,20,21
3025200,930,232,210,91
3025300,400,149,170,88
3025400,390,133,135,80
3025500,405,162,135,94
3025600,505,155,170,95
3025700,1305,249,520,144
3025800,510,162,85,72
3025901,400,147,50,53
3025902,235,122,15,30
3026000,810,208,330,138
3026100,375,169,55,46
3026200,335,152,125,87
3026300,400,126,220,97
3026400,510,213,115,98
3026500,360,133,60,44
3026600,750,230,120,92
3026700,575,199,130,86
3026800,245,106,95,73
3026900,470,150,245,110
3027000,460,170,110,64
3027100,1900,316,685,169
3027200,280,124,35,33
3027300,580,183,110,74
3027400,520,155,245,90
3027500,640,216,155,101
3027600,995,218,235,108
3027700,370,163,45,38
3027800,870,196,235,90
3027900,405,139,105,66
3028000,535,164,270,117
3028100,260,114,90,64
3028200,530,169,170,90
3028300,410,162,55,45
3028400,725,258,165,90
3028501,3595,381,1220,235
3028502,205,102,120,90
3028600,295,109,60,45
3028700,630,162,105,69
3028800,1205,240,320,108
3028900,455,153,160,69
3029000,1080,225,345,133
3029100,600,157,150,78
3029200,325,132,90,62
3029300,320,104,25,34
3029400,1565,293,470,171
3029500,465,174,70,80
3029600,1065,255,205,98
3029700,410,146,165,82
3029800,1120,255,230,99
3029900,570,158,165,77
3030000,870,254,85,67
3030100,590,178,255,116
3030200,230,89,70,52
3030300,575,219,295,165
3030400,1745,326,745,158
3030500,1865,347,630,207
3030600,590,186,230,111
3030700,885,233,265,108
3030800,1065,242,390,137
3030900,215,117,85,67
3031100,220,114,50,37
3031300,455,154,100,56
3031400,855,278,365,158
3031500,605,182,180,104
3031701,530,192,130,77
3031702,470,162,100,79
3031900,620,167,210,118
3032100,875,227,240,102
3032300,555,204,205,144
3032500,805,203,250,111
3032600,1160,261,380,131
3032700,955,257,350,120
3032800,1325,303,610,211
3032900,535,176,280,140
3033000,375,128,70,41
3033100,675,167,345,133
3033300,640,163,95,57
3033500,455,141,55,43
3033600,470,175,200,106
3033700,965,236,185,103
3033900,640,200,195,112
3034000,1020,241,230,97
3034100,885,255,275,152
3034200,1285,308,360,157
3034300,395,131,120,67
3034500,375,153,110,86
3034700,435,141,190,91
3034800,2555,422,975,197
3034900,450,189,105,67
3035000,685,183,360,114
3035100,840,236,190,127
3035200,1400,286,320,106
3035300,395,154,45,42
3035400,1780,295,675,187
3035500,540,173,55,50
3035601,130,63,15,26
3035602,730,256,160,82
3035700,105,72,10,17
3035900,370,122,105,69
3036001,675,201,155,89
3036002,615,174,120,64
3036100,590,198,95,77
3036200,1335,257,310,118
3036300,345,152,125,89
3036400,400,128,170,85
3036501,320,127,120,81
3036502,335,143,45,46
3036600,1370,251,410,157
3036700,665,206,355,143
3036900,485,143,200,91
3037000,3590,496,1475,289
3037100,235,124,120,105
3037300,455,181,160,86
3037401,590,163,125,76
3037402,585,158,180,102
3037500,765,204,235,127
3037700,305,103,85,51
3037900,330,129,130,86
3038100,435,142,190,105
3038200,540,187,125,65
3038300,250,144,30,43
3038500,295,134,0,119
3038600,1645,273,745,209
3038700,1295,268,565,164
3038800,280,105,145,76
3038900,860,209,220,104
3039000,225,118,75,66
3039100,1360,307,280,133
3039200,645,164,175,81
3039300,770,202,210,83
3039400,750,233,220,131
3039500,305,147,55,68
3039600,265,120,110,79
3039700,525,173,135,91
3039800,1255,298,560,181
3039900,560,194,95,65
3040000,465,138,180,98
3040100,540,169,135,101
3040200,655,194,240,111
3040300,615,196,215,107
3040400,1000,235,325,140
3040500,485,176,170,112
3040600,190,100,10,18
3040800,355,153,55,45
3040900,475,141,60,46
3041000,755,155,315,103
3041100,100,78,30,35
3041200,705,191,190,93
3041300,285,115,25,26
3041401,240,101,115,69
3041402,215,95,40,33
3041500,345,141,100,55
3041600,620,193,110,54
3041700,410,187,45,51
3041800,925,279,360,175
3041900,435,184,160,86
3042000,1280,274,255,92
3042100,365,130,60,43
3042200,1000,254,275,114
3042300,1100,227,270,128
3042400,875,191,190,91
3042500,750,195,345,133
3042600,510,177,90,67
3042700,580,177,80,58
3042800,1220,292,220,108
3042900,1105,256,370,148
3043000,530,152,195,81
3043100,980,268,365,129
3043200,480,171,190,97
3043300,630,196,335,139
3043400,455,137,150,82
3043500,730,197,90,55
3043600,675,208,130,75
